task_id,employee_id,date,task_description,estimated_duration,actual_duration,priority,deadline_days,mood,workload,project,dept,breaks,interruptions,remote_work,manager_id,team_size,completed,status,notes,tools_used
163,EMP96,10/13/2025,Write proposal,"2,3","2,5",Low,6,Tired,3,App QA Cycle,Sales,1,2,50%,MGR396,9,No,Done,Blocked by dependencies,Google Docs
164,EMP118,09/24/2025,Bug fixing,"1,1",1,High,3,Tired,7,App QA Cycle,IT,1,0,25%,MGR428,11,No,Done,Customer issue,"Word, Excel"
165,EMP154,10/16/2025,Bug fixing,"2,4","2,9",High,6,Calm,7,Client Dashboard,IT,0,3,50%,MGR386,11,No,Ongoing,Code reviewed twice,"Zoom, Slack"
166,EMP192,10/14/2025,Write proposal,"2,5","2,3",Medium,3,Tired,9,Q4 Review Report,Sales,0,1,50%,MGR358,13,Yes,Delayed,Code reviewed twice,"Figma, Power BI"
167,EMP45,10/01/2025,Code feature,"1,4","1,3",Low,3,Stressed,1,All-Hands Sync,Analytics,1,2,50%,MGR410,4,Yes,Ongoing,Follow up required,Google Docs
168,EMP194,10/12/2025,Code feature,"2,2","2,4",High,2,Stressed,10,App QA Cycle,Sales,2,1,75%,MGR336,5,No,Ongoing,Ready for submission,"JIRA, PyCharm"
169,EMP85,10/08/2025,Write report,"1,6","2,1",Medium,3,Focused,3,Q4 Review Report,QA,1,4,50%,MGR408,13,No,Delayed,Ready for submission,"VSCode, GitHub"
170,EMP118,10/14/2025,Bug fixing,"1,2","1,4",High,2,Tired,10,All-Hands Sync,Sales,1,5,50%,MGR305,15,No,Delayed,Needed extra research,Google Docs
171,EMP195,10/11/2025,Design dashboard,"3,1","3,4",High,5,Tired,5,CRM Update,Sales,1,1,25%,MGR364,12,Yes,Ongoing,Code reviewed twice,"Figma, Power BI"
172,EMP185,09/18/2025,Team meeting,"3,8","4,3",Medium,1,Focused,6,Client Dashboard,IT,0,2,50%,MGR406,4,Yes,Done,Revision requested,"Zoom, Slack"
173,EMP155,10/03/2025,Team meeting,"1,9","2,4",High,3,Tired,5,Client Dashboard,HR,0,3,0%,MGR336,14,Yes,Ongoing,Follow up required,Google Docs
174,EMP113,09/19/2025,Bug fixing,"3,6","3,9",High,3,Focused,2,App QA Cycle,HR,2,5,50%,MGR397,15,No,Done,Blocked by dependencies,"JIRA, PyCharm"
175,EMP26,10/06/2025,Write proposal,"1,7",2,Medium,5,Calm,2,Client Dashboard,QA,2,2,75%,MGR329,4,Yes,Done,Ready for submission,"JIRA, PyCharm"
176,EMP49,09/20/2025,Code feature,"3,7","3,9",Low,2,Tired,8,All-Hands Sync,Sales,1,4,25%,MGR406,12,Yes,Delayed,Audit scheduled,"JIRA, PyCharm"
177,EMP91,09/18/2025,Design dashboard,2,"1,9",Medium,2,Tired,8,CRM Update,HR,0,5,50%,MGR391,2,No,Delayed,Blocked by dependencies,"Word, Excel"
178,EMP136,09/19/2025,Design dashboard,"3,7","3,6",High,6,Focused,1,Q4 Review Report,HR,0,1,100%,MGR352,3,Yes,Ongoing,Blocked by dependencies,"VSCode, GitHub"
179,EMP104,10/11/2025,Code feature,"3,7","3,7",Low,1,Happy,3,CRM Update,Sales,1,1,0%,MGR306,4,Yes,Delayed,Blocked by dependencies,Google Docs
180,EMP102,09/17/2025,Code feature,"1,7","1,5",Medium,1,Calm,7,New Project RFP,Analytics,2,0,75%,MGR414,14,No,Ongoing,Audit scheduled,"Word, Excel"
181,EMP135,10/03/2025,Code feature,1,"1,5",Low,1,Focused,5,App QA Cycle,Analytics,0,3,75%,MGR409,12,Yes,Delayed,Customer issue,"Word, Excel"
182,EMP40,09/27/2025,Write proposal,"3,6","3,5",High,1,Calm,5,New Project RFP,Sales,2,5,50%,MGR397,11,No,Delayed,Revision requested,Google Docs
183,EMP130,09/20/2025,Design dashboard,"1,5","1,7",High,7,Focused,4,App QA Cycle,QA,0,3,50%,MGR416,8,No,Ongoing,Code reviewed twice,"Zoom, Slack"
184,EMP129,09/27/2025,Design dashboard,"2,3","2,8",Medium,3,Calm,8,Q4 Review Report,Analytics,0,0,75%,MGR324,13,No,Done,Revision requested,"Word, Excel"
185,EMP170,10/17/2025,Write proposal,"3,1","3,2",Low,3,Stressed,7,All-Hands Sync,QA,2,0,50%,MGR379,7,Yes,Ongoing,Revision requested,"VSCode, GitHub"
186,EMP59,10/08/2025,Bug fixing,2,"1,9",High,7,Stressed,6,New Project RFP,HR,0,2,100%,MGR357,14,No,Ongoing,Audit scheduled,Google Docs
187,EMP192,10/07/2025,Write proposal,"1,5","1,5",High,5,Happy,1,CRM Update,HR,2,2,50%,MGR389,2,Yes,Done,Audit scheduled,"Figma, Power BI"
188,EMP122,09/19/2025,Code feature,"2,2",2,Low,6,Stressed,2,Client Dashboard,Sales,0,3,75%,MGR416,7,Yes,Delayed,Ready for submission,"Figma, Power BI"
189,EMP103,10/11/2025,Write proposal,"3,9","4,2",Low,1,Stressed,3,CRM Update,Sales,0,5,0%,MGR369,9,No,Delayed,Audit scheduled,"JIRA, PyCharm"
190,EMP126,09/25/2025,Code feature,"1,7","1,6",Low,1,Happy,7,Q4 Review Report,HR,2,5,100%,MGR424,10,No,Done,Blocked by dependencies,"JIRA, PyCharm"
191,EMP173,09/18/2025,Write report,"2,5","2,5",High,3,Calm,3,All-Hands Sync,HR,1,0,0%,MGR427,13,No,Done,Good team engagement,"JIRA, PyCharm"
192,EMP156,10/09/2025,Code feature,"1,4","1,4",Low,5,Happy,2,App QA Cycle,Analytics,1,0,75%,MGR319,15,No,Ongoing,Follow up required,Google Docs
193,EMP123,10/09/2025,Design dashboard,"1,8","1,9",Medium,3,Stressed,7,Q4 Review Report,HR,0,4,75%,MGR392,3,No,Done,Blocked by dependencies,"JIRA, PyCharm"
194,EMP170,09/29/2025,Write proposal,"2,5","2,3",High,4,Happy,6,CRM Update,HR,0,0,100%,MGR329,10,Yes,Delayed,UI feedback pending,"Figma, Power BI"
195,EMP185,10/13/2025,Code feature,"1,1","1,1",High,1,Calm,5,CRM Update,IT,2,1,0%,MGR345,14,No,Delayed,Audit scheduled,Google Docs
196,EMP134,10/08/2025,Write proposal,"2,9","2,7",Low,6,Focused,6,Client Dashboard,HR,0,3,0%,MGR420,9,No,Delayed,Audit scheduled,"Word, Excel"
197,EMP110,10/03/2025,Write report,"1,4","1,7",Medium,4,Tired,1,Q4 Review Report,HR,1,0,0%,MGR429,8,No,Ongoing,Revision requested,"Figma, Power BI"
198,EMP30,10/01/2025,Write proposal,"2,3","2,1",Low,2,Happy,10,App QA Cycle,Sales,0,0,75%,MGR326,14,No,Ongoing,Code reviewed twice,Google Docs
199,EMP185,09/22/2025,Write report,"1,7",2,High,6,Tired,8,New Project RFP,Sales,2,1,50%,MGR395,6,No,Delayed,UI feedback pending,"Figma, Power BI"
200,EMP173,09/18/2025,Design dashboard,"1,2","1,4",Low,3,Stressed,6,Q4 Review Report,Sales,2,3,50%,MGR364,13,Yes,Delayed,Code reviewed twice,Google Docs
201,EMP189,09/21/2025,Team meeting,"1,7","1,5",Medium,6,Tired,3,New Project RFP,Analytics,1,4,75%,MGR384,15,Yes,Ongoing,Revision requested,"Word, Excel"
202,EMP185,10/08/2025,Bug fixing,"2,1","2,4",Low,3,Stressed,6,All-Hands Sync,IT,0,2,75%,MGR349,5,Yes,Done,Code reviewed twice,"Zoom, Slack"
203,EMP45,10/03/2025,Write proposal,4,"3,8",Low,5,Stressed,6,New Project RFP,IT,2,3,25%,MGR341,4,Yes,Ongoing,Customer issue,"Word, Excel"
204,EMP125,09/28/2025,Design dashboard,"2,6","2,6",Low,2,Tired,10,All-Hands Sync,QA,0,4,25%,MGR379,14,No,Done,UI feedback pending,"Figma, Power BI"
205,EMP166,10/01/2025,Bug fixing,"1,5","1,7",Medium,7,Tired,9,New Project RFP,QA,0,1,100%,MGR335,15,No,Done,Customer issue,"Zoom, Slack"
206,EMP161,10/16/2025,Write report,"1,6","2,1",Low,7,Focused,2,All-Hands Sync,Analytics,0,2,75%,MGR337,15,No,Done,Blocked by dependencies,"JIRA, PyCharm"
207,EMP109,10/16/2025,Write report,"3,6","3,9",Medium,1,Tired,9,All-Hands Sync,IT,1,0,50%,MGR357,2,No,Done,UI feedback pending,"VSCode, GitHub"
208,EMP55,09/18/2025,Team meeting,3,"3,2",Medium,6,Calm,8,App QA Cycle,Sales,0,0,0%,MGR365,5,Yes,Ongoing,Audit scheduled,Google Docs
209,EMP128,09/20/2025,Team meeting,"3,1",3,High,3,Stressed,1,CRM Update,QA,2,4,75%,MGR316,3,No,Ongoing,Revision requested,"Word, Excel"
210,EMP181,10/03/2025,Write proposal,"1,7","1,6",High,6,Calm,5,App QA Cycle,Analytics,2,2,25%,MGR406,4,Yes,Ongoing,UI feedback pending,"Word, Excel"
211,EMP154,10/04/2025,Write proposal,"1,5","1,5",Low,5,Stressed,7,App QA Cycle,Analytics,2,3,50%,MGR364,13,Yes,Delayed,Code reviewed twice,"Zoom, Slack"
212,EMP81,10/10/2025,Design dashboard,"2,2","2,1",Low,1,Focused,6,CRM Update,Analytics,1,4,50%,MGR344,15,No,Ongoing,Customer issue,"Figma, Power BI"
213,EMP66,10/12/2025,Code feature,"3,8","3,8",High,6,Tired,1,All-Hands Sync,IT,0,1,0%,MGR380,6,No,Ongoing,Customer issue,"Zoom, Slack"
214,EMP29,10/11/2025,Design dashboard,3,3,High,3,Happy,1,Client Dashboard,HR,1,0,50%,MGR411,8,No,Delayed,UI feedback pending,"VSCode, GitHub"
215,EMP147,10/09/2025,Bug fixing,"1,3","1,2",Medium,7,Focused,5,Q4 Review Report,QA,0,3,100%,MGR346,10,No,Delayed,Code reviewed twice,"Word, Excel"
216,EMP103,10/08/2025,Team meeting,"2,6","2,7",Medium,4,Focused,7,CRM Update,QA,1,3,0%,MGR390,11,No,Delayed,Needed extra research,"Word, Excel"
217,EMP191,10/07/2025,Bug fixing,"1,8","2,1",Medium,5,Calm,1,CRM Update,Sales,2,3,0%,MGR332,3,Yes,Ongoing,UI feedback pending,"Zoom, Slack"
218,EMP118,10/17/2025,Write proposal,"1,5","1,5",High,5,Calm,8,All-Hands Sync,HR,1,0,100%,MGR335,10,No,Delayed,UI feedback pending,"Figma, Power BI"
219,EMP91,09/24/2025,Write report,"2,5","2,5",High,6,Calm,8,New Project RFP,QA,2,0,50%,MGR366,13,No,Done,Audit scheduled,"Zoom, Slack"
220,EMP197,10/16/2025,Bug fixing,"1,7","1,5",High,1,Calm,2,App QA Cycle,IT,2,3,0%,MGR381,12,No,Ongoing,Code reviewed twice,Google Docs
221,EMP158,09/26/2025,Team meeting,"3,7","4,2",High,6,Calm,6,New Project RFP,IT,0,1,25%,MGR360,14,No,Done,UI feedback pending,Google Docs
222,EMP166,09/28/2025,Bug fixing,"3,6","3,5",Low,2,Focused,2,Q4 Review Report,HR,1,5,75%,MGR405,14,No,Ongoing,Code reviewed twice,"VSCode, GitHub"
223,EMP101,10/07/2025,Write report,2,"2,2",Medium,4,Focused,6,CRM Update,Sales,2,4,25%,MGR333,8,Yes,Done,Revision requested,"VSCode, GitHub"
224,EMP97,09/22/2025,Code feature,"3,1","3,3",Medium,6,Calm,6,New Project RFP,HR,0,2,25%,MGR370,4,No,Ongoing,Revision requested,"Word, Excel"
225,EMP148,10/07/2025,Code feature,"3,6","3,4",Low,5,Calm,3,Client Dashboard,Sales,2,4,50%,MGR310,15,Yes,Done,Needed extra research,"Figma, Power BI"
226,EMP167,09/25/2025,Design dashboard,"3,3","3,6",High,7,Focused,7,New Project RFP,Analytics,1,5,100%,MGR374,12,No,Delayed,Blocked by dependencies,"Figma, Power BI"
227,EMP123,09/26/2025,Bug fixing,"1,3","1,6",High,6,Stressed,3,App QA Cycle,QA,1,3,25%,MGR387,11,Yes,Delayed,UI feedback pending,"Figma, Power BI"
228,EMP108,09/29/2025,Code feature,"3,7",4,Medium,5,Focused,2,All-Hands Sync,IT,1,0,50%,MGR415,5,Yes,Done,Needed extra research,"Zoom, Slack"
229,EMP118,10/14/2025,Write proposal,"2,7","2,5",Medium,2,Calm,6,New Project RFP,HR,0,1,75%,MGR419,9,No,Delayed,Needed extra research,"Word, Excel"
230,EMP120,10/03/2025,Bug fixing,"3,8","3,8",High,2,Focused,6,Q4 Review Report,Analytics,1,3,100%,MGR420,6,Yes,Done,Follow up required,"VSCode, GitHub"
231,EMP87,10/10/2025,Team meeting,1,1,Medium,3,Stressed,7,Q4 Review Report,Sales,2,1,50%,MGR373,3,No,Ongoing,Customer issue,Google Docs
232,EMP91,10/13/2025,Write proposal,"2,6","2,4",Low,5,Stressed,3,Q4 Review Report,QA,1,2,100%,MGR393,14,Yes,Done,Audit scheduled,Google Docs
233,EMP122,10/03/2025,Write report,"2,3","2,8",High,1,Calm,6,App QA Cycle,Sales,1,1,100%,MGR335,7,No,Done,Follow up required,Google Docs
234,EMP96,10/05/2025,Team meeting,"1,7","1,7",Low,7,Focused,9,App QA Cycle,Sales,1,3,0%,MGR394,7,Yes,Delayed,Audit scheduled,"Zoom, Slack"
235,EMP196,10/07/2025,Write report,"1,1",1,Low,4,Happy,10,New Project RFP,IT,2,0,100%,MGR422,4,No,Done,Blocked by dependencies,"Word, Excel"
236,EMP166,10/17/2025,Design dashboard,2,"2,3",High,2,Stressed,8,All-Hands Sync,QA,0,3,25%,MGR405,10,No,Ongoing,Needed extra research,"Figma, Power BI"
237,EMP55,10/03/2025,Code feature,"2,1",2,Low,3,Tired,9,App QA Cycle,HR,0,3,100%,MGR387,10,No,Ongoing,Ready for submission,Google Docs
238,EMP143,09/23/2025,Code feature,"3,2","3,2",Medium,5,Happy,4,All-Hands Sync,HR,2,1,75%,MGR381,9,No,Ongoing,Ready for submission,"Zoom, Slack"
239,EMP51,10/05/2025,Design dashboard,"2,6","2,8",Low,4,Tired,6,CRM Update,HR,0,2,0%,MGR388,9,No,Ongoing,Customer issue,"VSCode, GitHub"
240,EMP71,10/13/2025,Write proposal,"2,1",2,Medium,5,Happy,3,Q4 Review Report,Sales,2,4,25%,MGR362,2,Yes,Ongoing,Blocked by dependencies,"Word, Excel"
241,EMP45,09/30/2025,Team meeting,"1,8","1,6",Low,4,Stressed,3,Q4 Review Report,Sales,0,3,75%,MGR422,12,Yes,Delayed,UI feedback pending,"Zoom, Slack"
242,EMP185,09/18/2025,Write report,"3,9","4,4",Low,5,Calm,9,Client Dashboard,Analytics,0,3,25%,MGR309,15,No,Delayed,Good team engagement,"Figma, Power BI"
243,EMP94,10/15/2025,Write report,"2,5","2,7",High,3,Focused,10,Q4 Review Report,HR,1,3,100%,MGR426,4,No,Delayed,Blocked by dependencies,"Word, Excel"
244,EMP104,09/22/2025,Design dashboard,"2,3","2,8",Medium,6,Happy,3,Q4 Review Report,HR,1,4,25%,MGR344,11,No,Delayed,Revision requested,"Zoom, Slack"
245,EMP42,09/29/2025,Design dashboard,"2,5","2,8",High,2,Calm,8,All-Hands Sync,IT,0,2,75%,MGR360,9,No,Delayed,Ready for submission,Google Docs
246,EMP166,09/17/2025,Team meeting,3,3,Low,3,Calm,1,Client Dashboard,Analytics,1,2,25%,MGR403,12,No,Ongoing,Code reviewed twice,"Figma, Power BI"
247,EMP95,09/28/2025,Write proposal,"1,6","2,1",High,2,Calm,8,CRM Update,QA,2,4,50%,MGR406,13,No,Ongoing,Blocked by dependencies,"VSCode, GitHub"
248,EMP194,10/11/2025,Write proposal,"2,5","2,8",High,5,Tired,9,Client Dashboard,HR,0,4,0%,MGR315,15,Yes,Ongoing,Revision requested,"VSCode, GitHub"
249,EMP62,09/27/2025,Write proposal,"1,1","1,1",Medium,1,Calm,10,App QA Cycle,Analytics,2,3,0%,MGR416,4,No,Delayed,Audit scheduled,"Word, Excel"
250,EMP163,10/01/2025,Design dashboard,"1,1","1,4",Medium,6,Stressed,7,All-Hands Sync,Analytics,2,1,100%,MGR318,2,No,Delayed,Code reviewed twice,Google Docs
251,EMP35,10/16/2025,Write report,"3,8","4,3",Medium,1,Happy,7,CRM Update,IT,2,5,75%,MGR395,8,No,Delayed,Follow up required,"Word, Excel"
252,EMP194,10/17/2025,Design dashboard,"1,8","1,6",Low,2,Happy,2,CRM Update,Sales,1,4,25%,MGR357,15,Yes,Done,Ready for submission,"JIRA, PyCharm"
253,EMP192,10/10/2025,Write proposal,"2,1","2,1",Medium,5,Tired,4,CRM Update,QA,1,1,50%,MGR348,13,Yes,Done,Follow up required,Google Docs
